classificacao,cidade,id_lote,codigo_legado,nome_legado,nome_oficial,logradouro_legado,endereco_oficial,unidades_sobrepostas,total_unidades_legado,total_unidades_geo,qtd_lotes,qtd_codigos
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,143682,6177,ABI FAICAL I,,AV INES PEREIRA DE MARIA,"AV INES PEREIRA DE MARIA  CASA 01 , BAIRRO JD SÃO JOSÉ",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,154671,1475,ADELINO ALVES II,,R  FV28,"R FV28  CASA 01 , BAIRRO RES FORTE VILLE - EXTENSÃO",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,259850,10806,AFONSO MENDES II,,R  RB13,"R RB13 CASA01 , BAIRRO RES RECANTO DO BOSQUE",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,130757,5950,AGC-HORTENCIAS,,R  DAS HORTENCIAS,"R DAS HORTENSIAS  CASA 01 , BAIRRO BRO JARDIM BOTÂNICO",3,3,3,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,292675,6391,AGNELO CANDIDO PEREIRA,,R  OM23,"R OM23 C-1 , BAIRRO RES ORLANDO DE MORAIS",4,4,4,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,107355,5412,AGP PEIXOTO,,R  CRP9,"R CRP9  CASA02 , BAIRRO RES PRIMAVERA",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,140058,6100,AG´REZIO I,,R  JOSE ERNESTO MORAES,"R JOSE ERNESTO MORAES  CASA 01 , BAIRRO RES BUENA VISTA IV",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,258790,1227,AGUAS CLARAS,,AV HORACIO COSTA SILVA,"AV HORACIO COSTA SILVA CASA 01 , BAIRRO JD BALNEÁRIO MEIA PONTE",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,346115,4895,AGUIAR RESIDENCE I,,R  AB13,"R AB13 CASA 01 , BAIRRO RES ALICE BARBOSA",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,345863,6234,A.J.B VIII,,R  OM24,"R OM24 CASA 01 , BAIRRO RES ORLANDO DE MORAIS",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,300443,6236,ALASCA IV,,R  SH5,"R SH5 CASA 01 , BAIRRO BRO SANTO HILÁRIO - EXPANSÃO",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,273485,7069,ALASCA VII,,R  PEDRO BRANT,"R PEDRO BRANT CASA 01 , BAIRRO BRO SANTO HILÁRIO - EXPANSÃO",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,156730,5949,ALBUQUERQUE AGUIAR,,R  ARMINDA MARIA DE LIMA,"R ARMINDA MARIA DE LIMA  CASA 01 , BAIRRO RES KÁTIA",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,51095,5819,ALCANTOS REIS,,R  SANTA LUZIA,"R SANTA LUZIA LT 04A . , BAIRRO JD NOVA ESPERANÇA",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,137853,1688,ALCIVANDO GONCALVES,,R  CON JOSE TRINDADE DA F.E SILVA,"R CON JOSE TRINDADE DA F.E SILVA  CASA 01 , BAIRRO JD SÃO JOSÉ",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,14393,1850,ALDO SALATIEL SILVA IV,,R  ELMIRO CESAR DE OLIVEIRA,"R ELMIRO CESAR DE OLIVEIRA CASA 01 , BAIRRO S ESTRELA DALVA",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,15712,11083,ALDO SALATIEL SILVA V,,R  ELMIRO CESAR DE OLIVEIRA,"R ELMIRO CESAR DE OLIVEIRA CASA 01 , BAIRRO S ESTRELA DALVA",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,312257,5782,ALESSANDRA J.N.P,,R  SANTA RITA,"SOB 01 , BAIRRO RES CLEA BORGES",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,357809,5385,ALEXANDRE O GRANDE,,R  SR39,"R SR39 CASA 01 , BAIRRO RES PAULO ESTRELA",3,3,3,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,172779,1533,ALEX MENDES III,,R  ILHEUS,"R ILHEUS  CASA 01 , BAIRRO RES CAMPOS DOURADOS",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,156438,2032,ALEX MENESES DA COSTA I,,R  RV10,"R RV10  CASA 01 , BAIRRO RES RIO VERDE",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,392111,11487,ALICE BARBOSA,,R  AB12,"R AB12 CASA 01 , BAIRRO RES ALICE BARBOSA",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,389165,6041,ALICE DIAMOND RESIDENCE,,R  AB8,"R AB8 CASA 01 , BAIRRO RES ALICE BARBOSA",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,312992,10228,ALICE DIAMOND RESIDENCE II,,R  AB2,"R AB2 CASA 01 , BAIRRO RES ALICE BARBOSA",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,97299,2009,ALISON 4,,AL ANICUNS,"AL ANICUNS  CASA01 , BAIRRO RES CIDADE VERDE",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,276566,2261,ALMEIDA RORIZ II,,AV DR. JOSE NETO CARNEIRO,"AV DR. JOSE NETO CARNEIRO CASA 01 , BAIRRO S CRIMÉIA LESTE",3,3,3,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,319941,1690,ALOISIO PEREIRA 15,,R  CARVALHO RAMOS,"R CARVALHO RAMOS CASA 01 , BAIRRO PRQ DAS AMENDOEIRAS",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,81902,1604,ALOYSIO TELES CARDOSO I,,R  JR10,"R JR10  CASA 01 , BAIRRO JD REAL",3,3,3,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,59142,2004,ALTO DO ORIENTE I,,R  RB15,"R RB15 LT 19 CS 01 , BAIRRO S ALTO DO VALE",4,4,4,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,178649,6939,ALVES DE ALMEIDA,,R  I-12,"R I-12  CASA 01 , BAIRRO JD IPANEMA",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,291148,7147,ALVES DOS REIS I,,R  JI2,"R JI2 C-1 , BAIRRO JD IPÊ",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,77785,10111,ALVES FERREIRA IV,,R  CC1,"R CC1 CASA 01 , BAIRRO RES CARLA CRISTINA",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,136299,2027,ALVES LEANDRO,,R  JUCA RODRIGUES,"R JUCA RODRIGUES  CASA 01 , BAIRRO RES BUENA VISTA III",3,3,3,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,322938,8637,AMADEUS SANTOS I,,R  ACP08,"R ACP08 CASA 02 , BAIRRO RES ANTONIO CARLOS PIRES",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,18369,5117,AMARAL 02-03/16,,R  11,"R 11 CASA 01 , BAIRRO S ESTRELA DALVA",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,368748,6997,AMARAL-53,,R  BM1,"R BM1 CASA 01 , BAIRRO RES BRISAS DA MATA",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,368925,6996,AMARAL-54,,R  BM1,"R BM1 C-1 , BAIRRO RES BRISAS DA MATA",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,16418,7238,AMARAL II,,R  FERRARI,"R FERRARI CASA 01 , BAIRRO S ESTRELA DALVA",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,30582,6529,AMARAL-TIRIRICA,,R  TIRIRICA,"R TIRIRICA LT 09 CS 01/02' , BAIRRO S PARQUE TREMENDÃO",2,2,2,1,1
