classificacao,cidade,id_lote,codigo_legado,nome_legado,nome_oficial,logradouro_legado,endereco_oficial,unidades_sobrepostas,total_unidades_legado,total_unidades_geo,qtd_lotes,qtd_codigos
IGNORAR_AGRUPADOR_ZERO,goiania,,0,"",,AV MARIA DE MELO,,,429864,,,
IGNORAR_REDUNDANTE_OFICIAL,goiania,240563,996,CATAS ALTAS,CATAS ALTAS,R  1127,"R 1127 136     APT 101+BOX , BAIRRO S MARISTA",16,16,16,1,1
IGNORAR_REDUNDANTE_OFICIAL,goiania,238487,4926,CONNECT PARK BUSINESS,CONNECT PARK BUSINESS,AV T12,"AV T12 S/N     CAFE/REST , BAIRRO S BUENO",343,404,354,1,1
IGNORAR_REDUNDANTE_OFICIAL,goiania,240428,2361,GALERIA NACIONAL,GALERIA NACIONAL,AV 85,"AV 85 876     LO.01.T. , BAIRRO S MARISTA",38,38,38,1,1
IGNORAR_REDUNDANTE_OFICIAL,goiania,316581,372,PALAZZO VERONA,PALAZZO VERONA,R  13,"R 13 36      APTO 202 , BAIRRO S OESTE",54,54,54,1,1
IGNORAR_REDUNDANTE_OFICIAL,goiania,237238,362,PLACE DE L'ETOILE,PLACE DE L'ETOILE,R  T36,"R T36 S/N     AP-101-C , BAIRRO S BUENO",338,338,338,1,1
IGNORAR_REDUNDANTE_OFICIAL,goiania,349274,539,PONTA PORA,PONTA PORÃ,R  9,"R 9 474     BOX 03 , BAIRRO S OESTE",14,14,14,1,1
IGNORAR_REDUNDANTE_OFICIAL,goiania,3462,5587,PRIVE RAVENA,PRIVE RAVENA,R  FORMOSA,"PC DA CONSTELACAO SOBRADO-01 , BAIRRO BRO NOSSA SENHORA DE FÁTIMA",8,8,8,1,1
IGNORAR_REDUNDANTE_OFICIAL,goiania,108718,971,RESIDENCIAL HERA,RESIDENCIAL HERA,R  JC301,"R JC301 CASA01A , BAIRRO RES JARDINS DO CERRADO 7",46,46,46,1,1
IGNORAR_REDUNDANTE_OFICIAL,goiania,108981,1272,RESIDENCIAL J.C. CRESCER,RESIDENCIAL JC CRESCER,R  JC209,"R JC210 CASA01BOX.01 , BAIRRO RES JARDINS DO CERRADO 6",56,56,56,1,1
IGNORAR_REDUNDANTE_OFICIAL,goiania,271800,562,RESIDENCIAL JR,RESIDENCIAL J.R,R  1A,"R 1A 81 BOX 15 , BAIRRO S AEROPORTO",33,33,33,1,1
IGNORAR_REDUNDANTE_OFICIAL,goiania,383675,1099,WALL STREET CENTER,WALL STREET CENTER,R  1,"R 1 928     LOJA 01 , BAIRRO S OESTE",115,115,115,1,1
