classificacao,cidade,id_lote,codigo_legado,nome_legado,nome_oficial,logradouro_legado,endereco_oficial,unidades_sobrepostas,total_unidades_legado,total_unidades_geo,qtd_lotes,qtd_codigos
QUARENTENA_SEM_MAPEAMENTO,goiania,,14527,347 JMA 113365,,R  VA6,,,0,,,
QUARENTENA_SEM_MAPEAMENTO,goiania,,14526,COND ANDRADE JUNIOR,,GYN24,,,0,,,
QUARENTENA_SEM_MAPEAMENTO,goiania,,15271,CONDOMINIO NAO CADASTRADO.,,R  VA6,,,0,,,
QUARENTENA_SEM_MAPEAMENTO,goiania,,14689,COND RES MESQUITA DE SOUZA II,,AV DONA MELINHA,,,0,,,
QUARENTENA_SEM_MAPEAMENTO,goiania,,14634,ERS AMIGOS,,R  NAPOLIS,,,0,,,
QUARENTENA_SEM_MAPEAMENTO,goiania,,14566,FERNANDO DEPAULA,,R  GIBRALTAR,,,0,,,
QUARENTENA_SEM_MAPEAMENTO,goiania,,12196,MORADA DOS HIBISCOS,,R  T51,,,2,,,
QUARENTENA_SEM_MAPEAMENTO,goiania,,14669,NARCISO 2,,R  FL46,,,0,,,
QUARENTENA_SEM_MAPEAMENTO,goiania,,14668,RES APARECIDA MAGALHAES,,R  JARACATIA,,,0,,,
QUARENTENA_SEM_MAPEAMENTO,goiania,,14562,RES ARANTES TAVARES IV,,R  SM2,,,0,,,
QUARENTENA_SEM_MAPEAMENTO,goiania,,14552,RES ASSIS E ASSIS,,R  80,,,0,,,
QUARENTENA_SEM_MAPEAMENTO,goiania,,14576,RES. BELA VISTA I,,R  C227,,,0,,,
QUARENTENA_SEM_MAPEAMENTO,goiania,,14555,RES BORGES III,,R  1,,,0,,,
QUARENTENA_SEM_MAPEAMENTO,goiania,,14543,RES BRAVA TALISMA II,,R  PROF. EDESIA C RABELO,,,0,,,
QUARENTENA_SEM_MAPEAMENTO,goiania,,14667,RES BR PLACE,,R  JOSE BONIFACIO,,,0,,,
QUARENTENA_SEM_MAPEAMENTO,goiania,,14568,RES CARVALHO OLIVEIRA VI,,R  RI-9,,,0,,,
QUARENTENA_SEM_MAPEAMENTO,goiania,,14537,RES ESTANCIA BORGES RODRIGUES X,,R  RB16,,,0,,,
QUARENTENA_SEM_MAPEAMENTO,goiania,,14528,RES FLAVIA I,,R  ISA LOSTRACCO,,,0,,,
QUARENTENA_SEM_MAPEAMENTO,goiania,,14656,RES GESSI BORGES I,,R  U80A,,,0,,,
QUARENTENA_SEM_MAPEAMENTO,goiania,,14635,RES GLEYSON,,R  JB8,,,0,,,
QUARENTENA_SEM_MAPEAMENTO,goiania,,14695,RES IDALINA PIMENTEL,,R  MDV23,,,0,,,
QUARENTENA_SEM_MAPEAMENTO,goiania,,14569,RESIDENCIAL CASTANHEIRA IV,,R  IRMA LAURA CHAER,,,0,,,
QUARENTENA_SEM_MAPEAMENTO,goiania,,14578,RESIDENCIAL COPAIBA,,R  COPAIBA,,,0,,,
QUARENTENA_SEM_MAPEAMENTO,goiania,,14678,RESIDENCIAL DEUSANI,,AV PRESIDENTE WASHINGTON LUIZ,,,0,,,
QUARENTENA_SEM_MAPEAMENTO,goiania,,14551,RESIDENCIAL ISABELA II,,R  C167,,,0,,,
QUARENTENA_SEM_MAPEAMENTO,goiania,,14617,RESIDENCIAL LH ROCHA,,R  FN29,,,0,,,
QUARENTENA_SEM_MAPEAMENTO,goiania,,14557,RESIDENCIAL LOPES DA SILVA,,R  BALLADOLID,,,0,,,
QUARENTENA_SEM_MAPEAMENTO,goiania,,14601,RESIDENCIAL MENDONCA RIBEIRO,,R  WALDOMIRO ROSA D OLIVEIRA,,,0,,,
QUARENTENA_SEM_MAPEAMENTO,goiania,,14561,RESIDENCIAL PEREIRA SANTOS I,,R  MONS JOSE LIMA,,,0,,,
QUARENTENA_SEM_MAPEAMENTO,goiania,,14654,RES IVO ALVES I,,R  JOSE LUDOVICO DE ALMEIDA,,,0,,,
QUARENTENA_SEM_MAPEAMENTO,goiania,,14602,RES JACOMINI,,R  FV20,,,0,,,
QUARENTENA_SEM_MAPEAMENTO,goiania,,14540,RES JANAINA REIS,,R  49,,,0,,,
QUARENTENA_SEM_MAPEAMENTO,goiania,,14544,RES JC V,,R  SC38,,,0,,,
QUARENTENA_SEM_MAPEAMENTO,goiania,,14626,RES JVR,,GYN24,,,0,,,
QUARENTENA_SEM_MAPEAMENTO,goiania,,14539,RES LUCIJANE,,R  C123,,,0,,,
QUARENTENA_SEM_MAPEAMENTO,goiania,,14680,RES MARTINS-390430,,R  ELPIDIO RODRIGUES,,,0,,,
QUARENTENA_SEM_MAPEAMENTO,goiania,,14615,RES MEDICI I,,R  TV6,,,0,,,
QUARENTENA_SEM_MAPEAMENTO,goiania,,14632,RES MORADA ARAUJO DA SILVA 01,,R  MARSELHA,,,0,,,
QUARENTENA_SEM_MAPEAMENTO,goiania,,14588,RES MOREIRA DA COSTA,,R  JOAO MANOEL BARCELOS,,,0,,,
QUARENTENA_SEM_MAPEAMENTO,goiania,,14066,RES PARQUE DAS FLORES II,,R  FL18,,,1,,,
QUARENTENA_SEM_MAPEAMENTO,goiania,,14679,RES PATRICIA,,R  J36,,,0,,,
QUARENTENA_SEM_MAPEAMENTO,goiania,,14638,RES PAULO PEREIRA BORGES I,,R  ANTONIO VIEIRA ROSA,,,0,,,
QUARENTENA_SEM_MAPEAMENTO,goiania,,14586,RES. PELGI NOVO MUNDO,,R  VALPARAISO,,,0,,,
QUARENTENA_SEM_MAPEAMENTO,goiania,,14653,RES ROSANA RODRIGUES,,R  8,,,0,,,
QUARENTENA_SEM_MAPEAMENTO,goiania,,14636,RES SARAIVA,,R  MARSELHA,,,0,,,
QUARENTENA_SEM_MAPEAMENTO,goiania,,14690,RES SILVERIO XXV,,R  SR63,,,0,,,
QUARENTENA_SEM_MAPEAMENTO,goiania,,14674,RES TEIXEIRA VIII,,R  SPT27,,,0,,,
QUARENTENA_SEM_MAPEAMENTO,goiania,,14529,RES TEIXEIRA X,,R  DO BOSQUE,,,0,,,
QUARENTENA_SEM_MAPEAMENTO,goiania,,14577,RES VALTER ROCHA,,R  MONTE CASSINO,,,0,,,
QUARENTENA_SEM_MAPEAMENTO,goiania,,14549,RES VILLAGE MARCOS DE OLIVEIRA XV,,R  RB15A,,,0,,,
QUARENTENA_SEM_MAPEAMENTO,goiania,,14536,RES WISON DA PAIXAO,,R  T27,,,0,,,
QUARENTENA_SEM_MAPEAMENTO,goiania,,14655,SOBRADO JARDIM AMERICA II,,AV C171,,,0,,,
