classificacao,cidade,id_lote,codigo_legado,nome_legado,nome_oficial,logradouro_legado,endereco_oficial,unidades_sobrepostas,total_unidades_legado,total_unidades_geo,qtd_lotes,qtd_codigos
REVISAO_CODIGO_MULTILOTE,goiania,165673,1118,ABAETE,,AV PRIMEIRA AVENIDA,"R HERMANTINO FERNANDES  CASA 01 , BAIRRO RES SANTA FÉ",2,42,2,2,1
REVISAO_CODIGO_MULTILOTE,goiania,372264,1118,ABAETE,EDIFÍCIO ABAETÉ,AV PRIMEIRA AVENIDA,"AV PRIMEIRA AVENIDA 255 APT102BOX02 , BAIRRO S LESTE VILA NOVA",40,42,40,2,1
REVISAO_CODIGO_MULTILOTE,goiania,287996,1051,ABILENE,,AV PORTUGAL,"R LN2 CASA 01 , BAIRRO RES LICARDINO NEY",2,14,2,2,1
REVISAO_CODIGO_MULTILOTE,goiania,350822,1051,ABILENE,EDIFÍCIO ABILENE,AV PORTUGAL,"AV PORTUGAL 180     AP 102 , BAIRRO S OESTE",12,14,12,2,1
REVISAO_CODIGO_MULTILOTE,goiania,61404,1052,ABRAHAO BAQUIT,,AV ASSIS CHATEAUBRIAND,"R FN8 LT 06 CS 01 , BAIRRO JD FONTE NOVA",2,95,2,2,1
REVISAO_CODIGO_MULTILOTE,goiania,382918,1052,ABRAHAO BAQUIT,EDIFÍCIO ABRAHÃO BAQUIT,AV ASSIS CHATEAUBRIAND,"AV ASSIS CHATEAUBRIAND  APT 101 , BAIRRO S OESTE",93,95,93,2,1
REVISAO_CODIGO_MULTILOTE,goiania,188766,3959,ABSOLUT BUSINESS STYLE,,AV T4,"R DO GUAJA  CASA 01 , BAIRRO JD ATLÂNTICO",2,235,2,3,1
REVISAO_CODIGO_MULTILOTE,goiania,197419,3959,ABSOLUT BUSINESS STYLE,,AV T4,"R DO CORAL 3       CASA 01 , BAIRRO JD ATLÂNTICO",1,235,4,3,2
REVISAO_CODIGO_MULTILOTE,goiania,238184,3959,ABSOLUT BUSINESS STYLE,ABSOLUT,AV T4,"AV T4 S/N     BOX01.PAV3 SS , BAIRRO S BUENO",232,235,232,3,1
REVISAO_CODIGO_MULTILOTE,goiania,79179,1053,ACACIA,,R  8,"R DONA MARIA TEREZA DE JESUS  CASA 01 , BAIRRO JD REAL",4,28,4,2,1
REVISAO_CODIGO_MULTILOTE,goiania,257106,1053,ACACIA,EDIFÍCIO ACACIA,R  8,"R 8 85      BOX 01 , BAIRRO S OESTE",24,28,24,2,1
REVISAO_CODIGO_MULTILOTE,goiania,208528,605,ACAIACA,,R  10,"R F49  CASA 03 , BAIRRO LOT FAIÇALVILLE",3,41,3,2,1
REVISAO_CODIGO_MULTILOTE,goiania,253481,605,ACAIACA,EDIFÍCIO ACAIACA,R  10,"R 10 14 APT202 , BAIRRO S CENTRAL",38,41,38,2,1
REVISAO_CODIGO_MULTILOTE,goiania,264707,1054,ACAPULCO,,R  T47,"AV FREI NAZARENO CONFALONI CASA 01 , BAIRRO LOT GOIÂNIA 2",4,30,4,2,1
REVISAO_CODIGO_MULTILOTE,goiania,301294,1054,ACAPULCO,EDIFÍCIO ACAPULCO,R  T47,"R T47 55      BOX 01 , BAIRRO S OESTE",26,30,26,2,1
REVISAO_CODIGO_MULTILOTE,goiania,254926,890,ACARAI,,R  3,"R FL10 CASA-01 , BAIRRO PRQ DAS FLORES",3,51,3,2,1
REVISAO_CODIGO_MULTILOTE,goiania,316699,890,ACARAI,EDIFÍCIO ACARAÍ,R  3,"R 3 231     AP 203 , BAIRRO S OESTE",48,51,48,2,1
REVISAO_CODIGO_MULTILOTE,goiania,194648,848,ACAUA II,,R  27A,"AV ITALIA  CASA 01 , BAIRRO JD EUROPA",3,51,3,2,1
REVISAO_CODIGO_MULTILOTE,goiania,396239,848,ACAUA II,RESIDENCIAL ACAUÃ,R  27A,"R 27A 45 AP-204 , BAIRRO S AEROPORTO",48,51,48,2,1
REVISAO_CODIGO_MULTILOTE,goiania,188386,1055,ACONCAGUA,,R  5,"R DO MARISCO SN      CASA 01 , BAIRRO JD ATLÂNTICO",2,20,2,2,1
REVISAO_CODIGO_MULTILOTE,goiania,281950,1055,ACONCAGUA,CONDOMÍNIO ACONCÁGUA,R  5,"R 5 S/N     AP-102 , BAIRRO S OESTE",18,20,18,2,1
REVISAO_CODIGO_MULTILOTE,goiania,144192,2780,ADDRESS WEST SIDE,,AV REPUBLICA DO LIBANO,"R C120 186     SOB.01 , BAIRRO BRO JARDIM AMÉRICA",2,164,2,2,1
